               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.034151,            0.020598,           0.0064022,             0.62395,             0.72684,             0.67795,             0.33042,            0.045403,            0.011177,            0.023664,             0.00901,             0.00901,             0.00901
                  37,            0.034689,            0.020809,           0.0091435,             0.69149,             0.76581,             0.70613,              0.3547,            0.043433,            0.011627,             0.02239,           0.0089817,           0.0089817,           0.0089817
                  38,            0.034191,            0.021215,           0.0064452,             0.65606,             0.73679,             0.72942,             0.34034,             0.04739,            0.011171,            0.024507,           0.0089534,           0.0089534,           0.0089534
                  39,            0.034871,            0.021209,           0.0063937,             0.68286,             0.76507,             0.75577,             0.36809,            0.045564,            0.010617,            0.020445,           0.0089251,           0.0089251,           0.0089251
                  40,            0.033649,            0.020091,           0.0056878,             0.68837,             0.75695,             0.72929,             0.34596,             0.04581,             0.01064,            0.022818,           0.0088969,           0.0088969,           0.0088969
                  41,            0.035701,            0.020355,           0.0051099,             0.68793,             0.72964,             0.69928,             0.34398,            0.040799,            0.010848,            0.025828,           0.0088686,           0.0088686,           0.0088686
                  42,            0.032758,             0.02065,           0.0049856,             0.71171,             0.79942,             0.76602,             0.36652,            0.044151,            0.010833,            0.019148,           0.0088403,           0.0088403,           0.0088403
                  43,            0.032201,            0.019315,           0.0062177,             0.71483,             0.80193,             0.74395,             0.36173,            0.042921,            0.010914,            0.018522,            0.008812,            0.008812,            0.008812
                  44,            0.033146,            0.019042,           0.0065039,             0.74296,             0.73166,             0.75087,              0.3664,            0.041848,            0.010912,            0.021749,           0.0087837,           0.0087837,           0.0087837
                  45,            0.032374,            0.021544,           0.0066796,             0.74403,             0.75273,             0.73407,             0.37471,            0.040216,            0.011289,            0.023278,           0.0087554,           0.0087554,           0.0087554
                  46,             0.03208,            0.019778,           0.0058442,             0.71467,             0.77487,             0.72587,             0.36828,            0.040605,            0.011498,            0.023178,           0.0087271,           0.0087271,           0.0087271
                  47,            0.031408,            0.021137,           0.0052732,             0.66942,             0.78426,             0.74604,             0.36784,            0.041556,            0.011117,            0.021084,           0.0086989,           0.0086989,           0.0086989
